Ctip Ctail W Al M RMSD
339 1 0.0859101 -15.0276 0.118793 -0.0011562 4.44633
340 1 0.0751835 -12.6265 0.159804 -0.00103567 2.97071
341 1 0.062224 -15.9065 0.122111 -0.00133288 2.86201
342 1 0.0603753 -15.2779 0.138195 -0.00123926 2.74064
343 1 0.0595648 -15.3312 0.168772 -0.000981091 2.99205
344 1 0.0555833 -17.658 0.131362 -0.00136398 2.77772
345 1 0.0583466 -13.755 0.175631 -0.000824351 3.67703
346 1 0.0429286 -15.5186 0.184594 -0.00106615 3.87017
347 1 0.0929917 -14.8399 0.121949 -0.00132874 3.71227
348 1 0.0429189 -12.7606 0.237651 -0.000597003 5.81507
349 1 0.0219662 -17.3188 0.158285 -0.00121743 3.596
350 1 0.0755244 -14.29 0.152613 -0.00101979 2.88313
351 1 0.0399215 -21.9775 0.113454 -0.00139606 3.7782
352 1 0.0539678 -16.4696 0.147525 -0.00128085 3.78677
353 1 0.0528672 -15.1032 0.171001 -0.00109989 4.23297
354 1 0.0576663 -13.1894 0.189436 -0.000869013 5.56302
355 1 0.0703584 -14.6193 0.145016 -0.00111368 2.88403
356 1 0.044332 -20.241 0.132367 -0.00143803 3.40974
357 1 0.0732816 -15.0505 0.133907 -0.00120696 2.97237
358 1 0.0227377 -25 0.0591146 -0.00212943 5.03863
359 1 0.0518688 -19.7218 0.113208 -0.00154339 3.85278
360 1 0.0900584 -12.0864 0.132043 -0.00112925 5.22798
361 1 0.0636112 -13.5591 0.170976 -0.000942415 5.76308
362 1 0.0768671 -14.9029 0.113904 -0.00131014 4.53415
363 1 0.0691042 -12.4368 0.166984 -0.000913498 4.42
364 1 0.0969439 -12.0881 0.135247 -0.00112631 3.87405
365 1 0.0765183 -12.1348 0.177034 -0.000813067 5.01476
366 1 0.0933467 -14.5759 0.108568 -0.00123183 3.89647
367 1 0.045397 -15.6439 0.1619 -0.00103159 3.9218
368 1 0.0575987 -13.3396 0.190989 -0.000761483 3.88901
369 1 0.0378197 -15.7417 0.154324 -0.00099879 4.1408
370 1 0.055765 -13.7874 0.173102 -0.000918738 4.81521
371 1 0.0348032 -15.4544 0.17759 -0.000764251 4.58595
372 1 0.0909177 -11.66 0.149153 -0.00112887 5.26986
373 1 0.0739912 -12.6108 0.158897 -0.000957979 3.75434
374 1 0.0642268 -16.5288 0.125488 -0.00125299 2.17357
375 1 0.0748556 -12.5727 0.154312 -0.0010229 2.98781
376 1 0.055078 -14.3987 0.149095 -0.00108919 3.53123
377 1 0.0892433 -11.4753 0.144959 -0.000985122 2.39182
378 1 0.0708639 -17.6644 0.108638 -0.00132224 2.81555
379 1 0.0593121 -17.1194 0.134519 -0.00131378 2.785
380 1 0.0657742 -18.0207 0.105043 -0.00129827 2.24493
381 1 0.0524008 -19.4367 0.104067 -0.00140856 2.74241
382 1 0.0555403 -15.6324 0.154531 -0.000998142 2.59598
383 1 0.0501702 -18.666 0.128358 -0.0012886 3.25368
384 1 0.0261177 -17.5858 0.138207 -0.0011605 5.04133
385 1 0.0701065 -14.8456 0.139153 -0.00111474 2.09671
386 1 0.0739087 -12.7832 0.138981 -0.00116112 2.72034
387 1 0.0670212 -14.2025 0.1667 -0.000992748 4.02166
388 1 0.0696086 -14.6367 0.159279 -0.000950975 4.21132
389 1 0.0662653 -14.7208 0.141178 -0.0012854 3.40477
390 1 0.0207908 -15.2326 0.184334 -0.00109773 4.19858
391 1 0.0810483 -14.7596 0.135225 -0.00100647 2.36101
392 1 0.0484824 -17.3969 0.140653 -0.00116407 2.29431
393 1 0.0504446 -14.7932 0.151013 -0.000938688 4.10699
394 1 0.0628788 -25 0.0865151 -0.0015185 3.04098
395 1 0.0316249 -16.6805 0.159593 -0.00112569 3.40016
396 1 0.019094 -16.6427 0.172919 -0.000979981 4.12996
397 1 0.0379719 -16.211 0.163376 -0.00100125 3.00303
398 1 0.0812804 -25 0.0742095 -0.00151654 3.41474
399 1 0.0814104 -13.6709 0.137482 -0.00103258 6.36402
400 1 0.0514256 -14.9782 0.143109 -0.00105159 5.48068
401 1 0.0720379 -12.3196 0.170169 -0.000801126 4.53804
402 1 0.058416 -14.8581 0.124292 -0.00119524 5.60138
403 1 0.0824121 -13.0623 0.126293 -0.00110242 5.07046
404 1 0.0416202 -14.4543 0.161908 -0.000900965 5.96033
405 1 0.0856485 -16.7482 0.0983608 -0.0012305 5.34795
406 1 0.01 -21.6458 0.113501 -0.00139454 5.00464
407 1 0.0919536 -12.4774 0.13697 -0.00105706 3.75649
408 1 0.069769 -14.7101 0.123552 -0.00118371 2.82419
409 1 0.0616009 -17.4812 0.115712 -0.00111165 3.74517
410 1 0.10366 -12.1631 0.143658 -0.000973658 4.60409
411 1 0.0579765 -12.7683 0.169971 -0.000758101 4.88809
412 1 0.0834073 -15.0628 0.120184 -0.000958287 2.74158
413 1 0.0597089 -16.5644 0.108255 -0.00121885 3.67205
414 1 0.0974629 -16.7301 0.0843352 -0.00130356 3.7305
415 1 0.0595891 -17.419 0.108912 -0.00102401 3.45426
416 1 0.0681818 -13.2308 0.138878 -0.00107044 3.55672
417 1 0.0561475 -12.7428 0.185335 -0.000734291 3.97201
418 1 0.0974758 -17.135 0.098828 -0.00133416 2.92555
419 1 0.0650686 -14.8879 0.143155 -0.000949241 3.05871
420 1 0.0763946 -13.7312 0.154364 -0.00110385 4.52416
421 1 0.0778048 -13.8539 0.135505 -0.00114409 3.75385
422 1 0.0496619 -13.8335 0.179872 -0.000747199 4.47586
423 1 0.0373831 -14.3661 0.166081 -0.000899405 3.88909
424 1 0.0492569 -16.9698 0.127376 -0.00116987 3.3345
