Ctip Ctail W RMSD
400 1.61837 0.0918703 -22.9153 3.10641
401 1.73289 0.0873668 -23.0424 3.21218
402 1.59961 0.0893097 -24.2265 1.51996
403 1.7265 0.0962593 -22.8209 2.9257
404 1.76739 0.0924773 -23.7733 1.78482
405 1.47782 0.0910445 -24.1947 3.09447
406 1.56756 0.0930866 -22.1386 2.89779
407 1.54923 0.0824454 -23.5048 4.1996
408 1.47143 0.0823771 -24.0701 2.46245
409 1.14897 0.0709743 -22.8227 3.07489
410 1.20491 0.0996409 -20.8255 3.87601
411 1.58205 0.0859523 -22.8383 3.24491
412 1.0529 0.0599683 -22.4488 3.85736
413 1.60227 0.0837419 -23.8492 2.53861
414 1.36588 0.0861316 -22.7165 2.26967
415 1.19681 0.0650556 -22.6814 3.26217
416 1.62987 0.0967605 -23.0542 2.55567
417 1.62396 0.0817279 -22.1454 2.21421
418 7.25155 0.158171 -18.4791 5.46069
419 1.21619 0.0712135 -21.9985 1.20418
420 5.30847 0.159662 -19.2015 2.93929
421 10 0.15772 -21.0033 3.60265
422 1.76743 0.117482 -21.5904 3.38938
423 1.73355 0.0862389 -23.5003 1.26331
424 1.72775 0.0972673 -23.4835 3.46935
425 1.38088 0.0882668 -21.919 3.83925
426 1.36212 0.0982997 -21.6774 1.88484
427 10 0.148415 -19.4762 5.74543
428 1.75289 0.0896108 -23.8416 2.71723
429 1.82677 0.0938359 -25.9877 4.31461
430 1.41048 0.0811629 -24.1088 2.14791
431 9.66785 0.152291 -21.0164 4.63935
432 1.56853 0.0855515 -21.9077 1.78627
433 1.70492 0.0876945 -24.1512 4.27504
434 10 0.193561 -18.5926 6.76295
435 1.60041 0.0787285 -22.5969 2.1948
436 1.2173 0.0723876 -21.9901 2.29112
437 4.81944 0.115837 -22.9413 2.4002
438 7.21522 0.144613 -19.3668 3.78436
439 2.23108 0.0953249 -24.9116 2.06608
440 2.21335 0.0848101 -25.2443 3.18803
441 9.74159 0.127695 -24.3111 4.05794
442 2.02416 0.107627 -23.3638 2.87438
443 10 0.148999 -24.4039 4.91141
444 10 0.138346 -21.6037 4.10031
445 1.69237 0.093205 -22.6061 2.20379
446 2.0826 0.107106 -23.045 3.54622
447 10 0.144118 -23.4059 6.78887
448 3.2545 0.108278 -19.7006 2.4161
449 2.02628 0.0956828 -21.4371 3.04943
450 1.64153 0.080159 -24.8738 3.91404
451 3.10357 0.114727 -24.5851 3.16524
452 9.67841 0.143152 -23.682 3.7758
453 5.49981 0.136724 -23.6385 3.72346
454 2.21689 0.101939 -25.5236 3.10186
455 1.93125 0.0929242 -25.653 3.23448
456 10 0.142314 -24.7709 2.63098
457 2.10672 0.0924914 -26.5397 3.89492
458 1.81065 0.0812371 -24.158 2.74263
459 1.79852 0.0843933 -23.7398 2.54724
460 5.54565 0.122694 -23.0707 4.46337
461 1.9236 0.0866949 -24.6694 4.24293
462 2.1277 0.103735 -23.4928 2.3967
463 1.69107 0.0796842 -24.2803 2.74563
464 6.81921 0.148174 -21.1379 4.87268
465 1.87524 0.0909972 -23.5043 0.734088
466 10 0.156497 -24.2339 6.39404
467 2.13677 0.0903906 -22.8486 2.40676
468 10 0.150772 -21.7103 3.93475
469 2.06285 0.102411 -21.9164 1.37219
470 1.48365 0.0719059 -24.4769 3.6375
471 1.65644 0.0808221 -24.0675 3.55397
472 1.68513 0.0807534 -23.9363 2.98591
473 1.59538 0.0774697 -25.4867 3.81271
474 1.80566 0.0995503 -23.332 4.3388
475 1.47511 0.0746878 -22.7884 2.55907
476 5.49926 0.122826 -21.0999 3.29749
477 1.82101 0.0734199 -24.063 3.08926
478 1.76558 0.0846126 -26.5071 3.8002
479 1.63886 0.0831267 -21.6746 1.57807
480 6.60606 0.144967 -21.3675 4.91547
481 1.70649 0.078067 -24.1706 4.51443
482 1.8403 0.0788032 -26.2921 4.07203
483 10 0.145306 -21.7478 3.43354
484 1.58382 0.0921651 -24.7251 3.74514
485 2.0945 0.0975109 -26.4608 2.19349
486 4.98695 0.116338 -25.0283 3.60138
487 2.11878 0.0960429 -25.4621 1.89235
488 10 0.166827 -24.2524 4.835
489 2.14648 0.0931618 -27.6907 2.83664
490 8.12005 0.133824 -25.7703 4.93198
491 10 0.135945 -23.1592 4.59342
492 1.98882 0.0844271 -24.2844 2.24929
493 10 0.162932 -24.9916 5.6003
494 1.89607 0.069219 -25.8259 2.84869
495 1.90223 0.0810267 -25.5914 3.17957
496 4.32687 0.11397 -22.4434 3.17146
497 1.87328 0.111753 -25.4006 2.75266
498 2.18388 0.0925223 -27.1112 2.71188
499 1.83705 0.0982482 -24.2109 1.62397
500 1.93755 0.102833 -25.1718 2.15522
501 1.87499 0.0943066 -26.0285 2.90338
502 10 0.154172 -25.0132 5.33124
503 1.73106 0.0744831 -24.5053 1.12309
504 1.93886 0.0966878 -25.2199 3.91958
505 2.1129 0.094561 -27.1417 3.01092
506 2.12856 0.0998376 -23.4239 1.48382
507 1.9614 0.0984012 -22.7532 1.90279
508 2.02352 0.076111 -25.3129 2.77247
509 5.3251 0.134354 -23.7398 3.3547
510 2.16938 0.108579 -27.2436 3.81876
511 2.1209 0.0959765 -25.0034 2.94727
512 2.47819 0.099289 -26.593 3.88213
513 10 0.148928 -24.0359 5.0202
514 1.91134 0.096081 -23.6005 2.84654
515 2.10938 0.0805772 -25.162 2.10881
516 2.23906 0.107234 -24.3696 2.542
517 5.03055 0.123186 -23.0209 3.53448
518 7.45657 0.152509 -21.45 3.67049
519 2.19485 0.0912395 -27.2665 4.37718
520 10 0.193203 -23.5875 7.42141
521 2.7532 0.119841 -22.8167 2.42435
522 6.42808 0.150126 -21.7964 4.49675
523 1.76861 0.0846379 -25.0779 2.96488
524 1.63949 0.0846426 -25.1645 2.64946
525 5.36689 0.124966 -22.013 3.65335
526 1.91882 0.0788933 -23.4949 4.05821
527 2.21331 0.0969455 -23.7921 2.59396
528 1.93529 0.0788106 -26.2684 3.51301
529 1.68087 0.0907733 -24.7293 1.56927
530 5.66889 0.129819 -22.679 3.9511
531 1.80062 0.0873317 -24.0247 1.43295
532 1.8734 0.0948299 -24.4721 1.37795
533 1.90519 0.1077 -22.473 1.36798
534 1.5029 0.0740828 -23.5387 2.43328
535 1.68483 0.0729008 -24.5591 1.85554
536 4.83292 0.12873 -20.6347 3.64337
537 1.86038 0.105059 -23.2457 1.7554
538 1.9018 0.0942329 -24.8772 2.49606
539 1.82282 0.069283 -25.2778 1.6357
540 5.92933 0.131436 -22.8098 3.49183
541 1.82794 0.102419 -26.7084 4.00304
542 10 0.154824 -22.443 5.11391
543 1.91592 0.0739389 -25.9577 3.20716
544 1.5461 0.0937466 -26.0018 3.71637
545 10 0.17823 -22.6873 3.55334
546 1.69342 0.0913465 -24.9271 1.87189
547 1.99166 0.0997846 -24.9951 2.38859
548 1.67438 0.076144 -23.3575 1.89346
549 1.84795 0.0913139 -24.4657 1.26119
550 2.15694 0.0953386 -25.6823 3.53714
551 2.15742 0.090728 -23.7575 1.94642
552 1.99166 0.0997846 -24.9951 2.38859
553 1.2678 0.0743089 -23.0828 2.36218
554 4.21329 0.113132 -22.7895 3.59998
555 9.67022 0.123745 -21.9522 5.53743
556 1.75726 0.0755331 -27.0771 4.44744
557 3.56264 0.10951 -20.6137 2.27487
558 1.89679 0.0921886 -25.4817 3.93052
559 1.40761 0.0748694 -23.1288 1.40361
560 1.7415 0.0918815 -24.072 2.97836
561 6.45503 0.141469 -22.4241 2.75706
562 5.78733 0.1454 -21.2212 3.00603
563 1.88383 0.0908502 -24.9932 3.03974
564 1.94805 0.102692 -25.1394 2.77103
565 10 0.153469 -22.7928 5.06998
566 1.75537 0.0908873 -22.3555 1.81854
567 1.6366 0.0888532 -22.5081 1.25187
568 2.08844 0.0877439 -24.7144 3.12819
569 1.97448 0.077613 -22.545 2.16335
570 1.60932 0.0814588 -22.7822 1.78998
571 1.8427 0.0926437 -25.9356 1.91593
572 1.48711 0.0713341 -24.1746 2.01634
573 1.89349 0.0771585 -23.5494 1.98766
574 6.15757 0.140074 -22.1454 5.38254
575 1.77639 0.0877718 -24.1507 2.43694
576 1.65611 0.0834615 -24.2224 2.92271
577 1.59347 0.0828635 -25.2772 3.78686
578 7.81074 0.14428 -20.5043 5.35854
579 1.89629 0.10607 -23.5079 2.5523
580 1.32922 0.0823948 -22.9468 2.14505
581 1.86887 0.102734 -23.2239 3.4935
582 1.88578 0.0849173 -25.1217 3.53368
583 1.35477 0.0556719 -23.8369 3.24258
584 1.98906 0.116834 -24.9623 3.64586
585 1.34398 0.0830889 -22.2618 3.58501
586 1.41391 0.0810976 -23.7464 2.47126
587 1.7063 0.0805962 -23.1396 2.07299
588 1.71643 0.0874531 -22.5156 1.8836
589 1.96894 0.0935706 -23.6685 3.23659
590 1.37086 0.0717977 -23.9075 1.75118
591 7.34951 0.12471 -21.1909 5.20075
592 1.8276 0.102088 -22.9262 4.60545
593 8.32449 0.154296 -22.0378 3.45461
594 1.56756 0.0801914 -23.3454 0.901833
595 1.61047 0.0607124 -24.3517 2.9819
596 1.67439 0.0979393 -24.616 4.17547
597 1.71069 0.0630982 -24.7786 3.23212
598 1.53115 0.0635524 -25.8752 3.112
599 9.49658 0.150509 -21.3421 5.8805
600 1.3636 0.0654625 -23.2535 3.22991
601 1.91362 0.0920694 -24.3925 1.52925
602 1.88523 0.102868 -22.6052 1.34843
